File.Name	Run.Index	Run	Condition	Replicate	Species	Strain	Digestion Method	Digestion Enzyme	Alkylation	Mass Spectrometer	HPLC	Separation Column Length cm	HPLC Flow Rate nl_min	Acquisition Method	MS1 Start mz	MS1 End mz	MS2 Start mz	MS2 End mz	MS2 Window Size Th	MS2 Max Accumulation Time ms	Search Engine	Missed Cleavages	Fixed Modifications	Variable Modifications 1	Variable Modification 2	Number Variable Modification	Peptidle Length Start	Peptide Length End
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_bisC1_25-023.raw	1	bisC1	BisC KO	1	E. coli	W3110	S-Trap	Trypsin	IAA	Thermo Orbitrap Astral	Thermo Vanquish Neo	15	600	DIA	380	980	200	2000	Variable	3	DIA-NN v2.5.1	2	Carbamidomethyl(C)	M Excision (N-term)	Oxidation(M)	3	7	30
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_bisC2_25-023.raw	2	bisC2	BisC KO	2	E. coli	W3110	S-Trap	Trypsin	IAA	Thermo Orbitrap Astral	Thermo Vanquish Neo	15	600	DIA	380	980	200	2000	Variable	3	DIA-NN v2.5.1	2	Carbamidomethyl(C)	M Excision (N-term)	Oxidation(M)	3	7	30
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_bisC3_25-023.raw	3	bisC3	BisC KO	3	E. coli	W3110	S-Trap	Trypsin	IAA	Thermo Orbitrap Astral	Thermo Vanquish Neo	15	600	DIA	380	980	200	2000	Variable	3	DIA-NN v2.5.1	2	Carbamidomethyl(C)	M Excision (N-term)	Oxidation(M)	3	7	30
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrA1_25-023.raw	4	msrA1	MsrA KO	1	E. coli	W3110	S-Trap	Trypsin	IAA	Thermo Orbitrap Astral	Thermo Vanquish Neo	15	600	DIA	380	980	200	2000	Variable	3	DIA-NN v2.5.1	2	Carbamidomethyl(C)	M Excision (N-term)	Oxidation(M)	3	7	30
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrA2_25-023.raw	5	msrA2	MsrA KO	2	E. coli	W3110	S-Trap	Trypsin	IAA	Thermo Orbitrap Astral	Thermo Vanquish Neo	15	600	DIA	380	980	200	2000	Variable	3	DIA-NN v2.5.1	2	Carbamidomethyl(C)	M Excision (N-term)	Oxidation(M)	3	7	30
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrA3_25-023.raw	6	msrA3	MsrA KO	3	E. coli	W3110	S-Trap	Trypsin	IAA	Thermo Orbitrap Astral	Thermo Vanquish Neo	15	600	DIA	380	980	200	2000	Variable	3	DIA-NN v2.5.1	2	Carbamidomethyl(C)	M Excision (N-term)	Oxidation(M)	3	7	30
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrB1_25-023.raw	7	msrB1	MsrB KO	1	E. coli	W3110	S-Trap	Trypsin	IAA	Thermo Orbitrap Astral	Thermo Vanquish Neo	15	600	DIA	380	980	200	2000	Variable	3	DIA-NN v2.5.1	2	Carbamidomethyl(C)	M Excision (N-term)	Oxidation(M)	3	7	30
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrB2_25-023.raw	8	msrB2	MsrB KO	2	E. coli	W3110	S-Trap	Trypsin	IAA	Thermo Orbitrap Astral	Thermo Vanquish Neo	15	600	DIA	380	980	200	2000	Variable	3	DIA-NN v2.5.1	2	Carbamidomethyl(C)	M Excision (N-term)	Oxidation(M)	3	7	30
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrB3_25-023.raw	9	msrB3	MsrB KO	3	E. coli	W3110	S-Trap	Trypsin	IAA	Thermo Orbitrap Astral	Thermo Vanquish Neo	15	600	DIA	380	980	200	2000	Variable	3	DIA-NN v2.5.1	2	Carbamidomethyl(C)	M Excision (N-term)	Oxidation(M)	3	7	30
Y:\9- Teaching Materials and Presentations\Proteomics Summer Course\2026\Datasets\E Coli Ahmed\Raw Files\Ahmed_msrC1_25-023.raw	10	msrC1	MsrC KO	1	E. coli	W3110	S-Trap	Trypsin	IAA	Thermo Orbitrap Astral	Thermo Vanquish Neo	15	600	DIA	380	980	200	2000	Variable	3	DIA-NN v2.5.1	2	Carbamidomethyl(C)	M Excision (N-term)	Oxidation(M)	3	7	30
