Run	group	Protein.Group	Genes	PG.MaxLFQ	n_peptides
WT1	WT	O52982	yfjS	16.40265234447521	2
WT2	WT	O52982	yfjS	16.5668381893429	1
WT3	WT	O52982	yfjS	16.16355693495167	2
bisC1	bisC	O52982	yfjS	19.298899097013464	NA
bisC2	bisC	O52982	yfjS	17.791461091533343	NA
bisC3	bisC	O52982	yfjS	19.81199229713558	NA
msrA1	msrA	O52982	yfjS	18.630352827684025	NA
msrA2	msrA	O52982	yfjS	19.507811091410815	NA
msrA3	msrA	O52982	yfjS	18.332789754782347	NA
msrB1	msrB	O52982	yfjS	16.303855843862163	3
msrB2	msrB	O52982	yfjS	16.355032449592183	3
msrB3	msrB	O52982	yfjS	16.743600333428823	3
msrC1	msrC	O52982	yfjS	16.105022251709716	3
msrC3	msrC	O52982	yfjS	16.478904626891243	3
WT1	WT	P00350	gnd	29.843202729832573	43
WT2	WT	P00350	gnd	29.722184341507738	45
WT3	WT	P00350	gnd	29.717941296151476	44
bisC1	bisC	P00350	gnd	29.764503939083212	44
bisC2	bisC	P00350	gnd	29.68652457115929	42
bisC3	bisC	P00350	gnd	29.664566205596607	45
msrA1	msrA	P00350	gnd	29.545517883285015	46
msrA2	msrA	P00350	gnd	29.75492500663332	43
msrA3	msrA	P00350	gnd	29.631408556573636	44
msrB1	msrB	P00350	gnd	29.718284105448188	44
msrB2	msrB	P00350	gnd	29.76269944831838	43
msrB3	msrB	P00350	gnd	29.793640019114754	43
msrC1	msrC	P00350	gnd	29.56115110650126	42
msrC3	msrC	P00350	gnd	29.56832750649811	44
WT1	WT	P00363	frdA	29.277397659939595	63
WT2	WT	P00363	frdA	29.169247612979397	65
WT3	WT	P00363	frdA	29.18393018078115	68
bisC1	bisC	P00363	frdA	29.213647433013662	61
bisC2	bisC	P00363	frdA	29.144119232390143	60
bisC3	bisC	P00363	frdA	29.086517233839004	71
msrA1	msrA	P00363	frdA	29.05861639885687	63
msrA2	msrA	P00363	frdA	29.2959289238687	65
msrA3	msrA	P00363	frdA	29.172995558326	68
msrB1	msrB	P00363	frdA	29.409065224932267	71
msrB2	msrB	P00363	frdA	29.530587437068426	67
msrB3	msrB	P00363	frdA	29.314573149188135	68
msrC1	msrC	P00363	frdA	29.52544553613567	71
msrC3	msrC	P00363	frdA	29.50604675213006	73
WT1	WT	P00370	gdhA	25.273484456551227	30
WT2	WT	P00370	gdhA	25.34192392170268	33
WT3	WT	P00370	gdhA	25.33344187641584	31
bisC1	bisC	P00370	gdhA	25.289767741400087	30
bisC2	bisC	P00370	gdhA	25.374041703087197	30
bisC3	bisC	P00370	gdhA	25.311379974515415	33
msrA1	msrA	P00370	gdhA	25.070949653197136	33
msrA2	msrA	P00370	gdhA	25.0961341149717	30
msrA3	msrA	P00370	gdhA	25.21888216517071	31
msrB1	msrB	P00370	gdhA	25.145518623875525	33
msrB2	msrB	P00370	gdhA	25.127075863258543	29
msrB3	msrB	P00370	gdhA	25.243403402574174	33
msrC1	msrC	P00370	gdhA	24.821268719837093	30
msrC3	msrC	P00370	gdhA	24.831121165830233	34
WT1	WT	P00393	ndh	26.807041781375695	38
WT2	WT	P00393	ndh	26.934376475492535	38
WT3	WT	P00393	ndh	26.761667890613534	38
bisC1	bisC	P00393	ndh	26.8640115355296	38
bisC2	bisC	P00393	ndh	26.700543962320133	39
bisC3	bisC	P00393	ndh	26.77536272066282	38
msrA1	msrA	P00393	ndh	26.95400270040961	40
msrA2	msrA	P00393	ndh	26.869418946046775	39
msrA3	msrA	P00393	ndh	26.789878361954706	40
msrB1	msrB	P00393	ndh	26.994812372735804	42
msrB2	msrB	P00393	ndh	26.945246547276284	41
msrB3	msrB	P00393	ndh	26.9730771253051	40
msrC1	msrC	P00393	ndh	26.995375032400638	39
msrC3	msrC	P00393	ndh	27.143455306829157	43
WT1	WT	P00448	sodA	28.792450045741138	16
WT2	WT	P00448	sodA	29.664773317486336	18
WT3	WT	P00448	sodA	29.707551134230652	17
bisC1	bisC	P00448	sodA	30.060892640663877	16
bisC2	bisC	P00448	sodA	29.694044106925823	15
bisC3	bisC	P00448	sodA	29.5239124589837	18
msrA1	msrA	P00448	sodA	28.810619387672542	16
msrA2	msrA	P00448	sodA	28.307741270405952	16
msrA3	msrA	P00448	sodA	29.447772490207388	16
msrB1	msrB	P00448	sodA	28.64800894037582	16
msrB2	msrB	P00448	sodA	28.701377010099392	14
msrB3	msrB	P00448	sodA	29.409331368211	15
msrC1	msrC	P00448	sodA	27.83706995040204	16
msrC3	msrC	P00448	sodA	27.608467582651492	15
WT1	WT	P00452	nrdA	26.980694653997798	48
WT2	WT	P00452	nrdA	26.954040430205957	49
WT3	WT	P00452	nrdA	26.93270766825591	49
bisC1	bisC	P00452	nrdA	27.07578906368239	50
bisC2	bisC	P00452	nrdA	27.04182288810417	47
bisC3	bisC	P00452	nrdA	27.04554271458419	49
msrA1	msrA	P00452	nrdA	26.74072748367161	52
msrA2	msrA	P00452	nrdA	26.8219287755351	49
msrA3	msrA	P00452	nrdA	26.928004139324674	51
msrB1	msrB	P00452	nrdA	27.14805525256705	54
msrB2	msrB	P00452	nrdA	27.140838506063766	50
msrB3	msrB	P00452	nrdA	27.21282986514608	50
msrC1	msrC	P00452	nrdA	27.069841106845224	50
msrC3	msrC	P00452	nrdA	27.003911768813033	50
WT1	WT	P00490	malP	27.588708117201715	62
WT2	WT	P00490	malP	27.617293922939	62
WT3	WT	P00490	malP	27.58249691557088	62
bisC1	bisC	P00490	malP	27.78604922371373	63
bisC2	bisC	P00490	malP	27.741280988837183	63
bisC3	bisC	P00490	malP	27.760771713810417	64
msrA1	msrA	P00490	malP	27.45648501906432	63
msrA2	msrA	P00490	malP	27.56213829179268	63
msrA3	msrA	P00490	malP	27.618224731095783	64
msrB1	msrB	P00490	malP	27.73592265845424	65
msrB2	msrB	P00490	malP	27.732095571726656	64
msrB3	msrB	P00490	malP	27.6732880457111	63
msrC1	msrC	P00490	malP	27.849880186264063	65
msrC3	msrC	P00490	malP	27.683968752762844	65
WT1	WT	P00509	aspC	29.139326201002675	37
WT2	WT	P00509	aspC	29.111043631389734	37
WT3	WT	P00509	aspC	29.092742787541795	38
bisC1	bisC	P00509	aspC	29.14462090448981	36
bisC2	bisC	P00509	aspC	28.972833983957607	34
