Protein.Group	Genes	WT1	WT2	WT3	bisC1	bisC2	bisC3	msrA1	msrA2	msrA3	msrB1	msrB2	msrB3	msrC1	msrC3
O52982	yfjS	16.40265234447521	16.5668381893429	16.16355693495167	19.298899097013464	17.791461091533343	19.81199229713558	18.630352827684025	19.507811091410815	18.332789754782347	16.303855843862163	16.355032449592183	16.743600333428823	16.105022251709716	16.478904626891243
P00350	gnd	29.843202729832573	29.722184341507738	29.717941296151476	29.764503939083212	29.68652457115929	29.664566205596607	29.545517883285015	29.75492500663332	29.631408556573636	29.718284105448188	29.76269944831838	29.793640019114754	29.56115110650126	29.56832750649811
P00363	frdA	29.277397659939595	29.169247612979397	29.18393018078115	29.213647433013662	29.144119232390143	29.086517233839004	29.05861639885687	29.2959289238687	29.172995558326	29.409065224932267	29.530587437068426	29.314573149188135	29.52544553613567	29.50604675213006
P00370	gdhA	25.273484456551227	25.34192392170268	25.33344187641584	25.289767741400087	25.374041703087197	25.311379974515415	25.070949653197136	25.0961341149717	25.21888216517071	25.145518623875525	25.127075863258543	25.243403402574174	24.821268719837093	24.831121165830233
P00393	ndh	26.807041781375695	26.934376475492535	26.761667890613534	26.8640115355296	26.700543962320133	26.77536272066282	26.95400270040961	26.869418946046775	26.789878361954706	26.994812372735804	26.945246547276284	26.9730771253051	26.995375032400638	27.143455306829157
P00448	sodA	28.792450045741138	29.664773317486336	29.707551134230652	30.060892640663877	29.694044106925823	29.5239124589837	28.810619387672542	28.307741270405952	29.447772490207388	28.64800894037582	28.701377010099392	29.409331368211	27.83706995040204	27.608467582651492
P00452	nrdA	26.980694653997798	26.954040430205957	26.93270766825591	27.07578906368239	27.04182288810417	27.04554271458419	26.74072748367161	26.8219287755351	26.928004139324674	27.14805525256705	27.140838506063766	27.21282986514608	27.069841106845224	27.003911768813033
P00490	malP	27.588708117201715	27.617293922939	27.58249691557088	27.78604922371373	27.741280988837183	27.760771713810417	27.45648501906432	27.56213829179268	27.618224731095783	27.73592265845424	27.732095571726656	27.6732880457111	27.849880186264063	27.683968752762844
P00509	aspC	29.139326201002675	29.111043631389734	29.092742787541795	29.14462090448981	28.972833983957607	28.98788156700733	29.000157699471547	29.09300677009393	29.118075465685152	28.957212061970317	28.962130569821806	29.032804466612287	29.030550285910046	28.98983024838976
P00547	thrB	25.128499900102497	25.07484197613868	25.163706331116565	24.565684345183826	24.291498286194642	24.264716332604642	24.944753876566217	25.35787667132838	24.832273496632315	24.05311451917113	24.19623650326372	24.286034976235346	24.1848276834236	23.81916441342132
P00550	mtlA	27.32464080501551	27.298084249117927	27.289694863376603	27.372893481846337	27.345044994721974	27.31270226483746	27.147111275984464	27.16045342991511	27.155684496585256	27.290573375055207	27.43160586782	27.368192839303585	27.243640483919553	27.138426337611094
P00561	thrA	27.12922515099316	27.058621187766274	27.0785410973261	26.223241814678413	26.042341542701408	26.07882413782565	26.82703445416444	27.34406803037029	26.822750236350622	25.904395470423264	25.911541298918888	25.833486483574912	25.887558198071197	25.548432132561004
P00562	metL	27.06054817620945	26.9526907767713	26.91537648371522	26.992882771366276	27.068160119991077	27.039190997042848	26.96295203130294	27.134566073531108	26.949998982224404	27.115666174290084	27.139348530345913	27.136620701268964	27.052095195281385	27.133988955298385
P00579	rpoD	28.341864080146543	28.43934570683071	28.452783170989555	28.34267424080163	28.39302994290478	28.42251536856109	28.323878847309803	28.380430546038365	28.384907430289253	28.267750536447636	28.32458710890137	28.39414969209941	28.37394349813979	28.298182580662953
P00582	polA	26.66179255613237	26.73145701197496	26.678606586073503	26.55747024582527	26.563206282413447	26.680251878690374	26.775878289010542	26.684147409325494	26.743288042606874	26.482201719723655	26.479810355379996	26.463895753425664	26.68881364515148	26.550311844955054
P00634	phoA	23.1903918298841	23.05388330298157	23.366978875903552	23.128931225312297	23.214450900975965	23.348224450462606	22.351131190953748	22.93419620801809	23.192869196923077	22.63465553313006	23.134349074073253	23.280239510269002	22.66965088208555	22.8563248364124
P00803	lepB	25.26244257814923	25.363259717831056	25.289872268508756	25.32634581861906	25.343505498359264	25.3731013153576	25.207850080187722	25.213870473969543	25.282444403458097	25.395170886891528	25.369594950219074	25.341526424129366	25.437212594198687	25.42530709349876
P00805	ansB	30.322156607335515	30.160333244306546	30.170938349434063	29.943365990402768	29.867163810947957	29.870584182151497	30.109245945453672	30.430519803789004	30.262093841484127	29.98841919696742	30.08961243848192	29.909304678724254	30.29953210867583	30.16783630874601
