Protein.Group	log2fc	ci_l	ci_r	mean_abundance	pval	adj_pval	comparison
P02942	-5.546423788447761	-5.831344398311766	-5.261503178583756	25.12880033517995	2.635989339211072e-13	8.010771601862448e-10	WT_vs_bisC
P76298	-4.282420497366392	-4.579410893001919	-3.985430101730864	21.96789912241829	6.333125845166731e-12	6.119688931459061e-9	WT_vs_bisC
P06974	-4.567598059457257	-4.891435962210309	-4.243760156704205	23.362979442144695	7.996570860187176e-12	6.119688931459061e-9	WT_vs_bisC
P07363	-5.306528211908695	-5.683014314780856	-4.930042109036535	24.692367978475733	8.054871907152434e-12	6.119688931459061e-9	WT_vs_bisC
P07018	-4.540386853529636	-4.89884581878137	-4.181927888277902	22.432971079123604	2.487104857333321e-11	1.49554443036561e-8	WT_vs_bisC
P05704	-5.034269657564245	-5.438246853456269	-4.630292461672221	23.00471080344985	2.952703712469122e-11	1.49554443036561e-8	WT_vs_bisC
P0AC05	-3.5205227849331315	-3.813483243852392	-3.2275623260138713	21.384855215924627	4.328845620069573e-11	1.6747404818857542e-8	WT_vs_bisC
P07017	-5.619138937801619	-6.087548398224002	-5.150729477379236	25.88922284445429	4.408662012203368e-11	1.6747404818857542e-8	WT_vs_bisC
P0A964	-5.483383349695682	-5.957810552965551	-5.008956146425813	24.813524565270416	6.521050276262026e-11	2.2019413099511442e-8	WT_vs_bisC
P04949	-5.969552352339839	-6.508329280047574	-5.430775424632104	29.126341509130864	1.0163423889228056e-10	2.8268922245646756e-8	WT_vs_bisC
P75937	-4.513644328532646	-4.9212815020608485	-4.106007155004443	22.765241249985934	1.0232252211323275e-10	2.8268922245646756e-8	WT_vs_bisC
P52612	-3.7784960438469923	-4.132010961763687	-3.4249811259302985	21.769918507308265	1.4822946346463174e-10	3.689737531203805e-8	WT_vs_bisC
P07330	-3.950533376398287	-4.322364664037384	-3.57870208875919	22.536729575134075	1.5783674862010355e-10	3.689737531203805e-8	WT_vs_bisC
P76308	-3.5181267989123164	-3.8675119003109426	-3.16874169751369	21.544832429093727	2.7685571483067985e-10	6.009746552645973e-8	WT_vs_bisC
P25798	-4.527657081706412	-4.991563468280897	-4.063750695131927	22.130745863098422	3.837741050844591e-10	7.72574709446413e-8	WT_vs_bisC
P76010	-4.752206422658041	-5.241837797844402	-4.26257504747168	22.829958694676613	4.0675206815210957e-10	7.72574709446413e-8	WT_vs_bisC
P33235	-3.3857649138330146	-3.7469122464015787	-3.0246175812644505	20.23185931638238	5.84085480604461e-10	9.918671209264746e-8	WT_vs_bisC
P36771	2.53010606301309	2.260078673321369	2.8001334527048107	21.514807732593948	5.874829936385832e-10	9.918671209264746e-8	WT_vs_bisC
P39267	-3.3708295086805116	-3.732506798178271	-3.009152219182752	21.11185826950429	6.210746488734463e-10	9.933925568033702e-8	WT_vs_bisC
P09833	-1.210063934051039	-1.348319710731022	-1.071808157371056	22.520683020211703	1.194870909029198e-9	1.8156063462698661e-7	WT_vs_bisC
P0A6S3	-4.268316511617492	-4.7665429427103385	-3.770090080524646	20.935824233219062	1.4924835918977635e-9	2.1575240769840935e-7	WT_vs_bisC
P22586	-3.8065746088837997	-4.25285239466549	-3.3602968231021095	21.205265511947704	1.561879884621588e-9	2.1575240769840935e-7	WT_vs_bisC
P0A6S0	-3.6665030141760866	-4.101260475668547	-3.231745552683626	23.50455351314517	1.7569468530911916e-9	2.3214615158887526e-7	WT_vs_bisC
P50466	-4.167559105275643	-4.673803052971229	-3.661315157580058	22.86722540810205	2.2566509689849613e-9	2.8574842894772075e-7	WT_vs_bisC
P75938	-4.242275858358045	-4.780220702948242	-3.704331013767849	19.255250252143817	3.5204043882306994e-9	4.279403574333238e-7	WT_vs_bisC
P15070	-4.067010593037601	-4.591957197267705	-3.5420639888074965	24.081225077045037	4.22809541071108e-9	4.941993058904221e-7	WT_vs_bisC
P09348	-5.188816280066426	-5.879531105904624	-4.4981014542282285	21.48338715798514	5.811034776026189e-9	6.540642475682811e-7	WT_vs_bisC
P33225	-5.21100309624279	-5.942023350796613	-4.479982841688966	14.665330262363725	9.965478409063594e-9	1.0816103173265807e-6	WT_vs_bisC
P0AE67	-4.582750172828181	-5.231875911781065	-3.933624433875297	24.499665679391885	1.1003639171231473e-8	1.1531054979783603e-6	WT_vs_bisC
P0ABX8	-3.95125759554535	-4.555708710368363	-3.346806480722336	21.718296264565307	2.4170108162642094e-8	2.448431956875644e-6	WT_vs_bisC
P0AEM6	-2.9551854888771665	-3.435970478473169	-2.474400499281164	22.828565301686435	4.518733492711217e-8	4.429816478822384e-6	WT_vs_bisC
P64479	7.012954300019629	5.8632011874573555	8.162707412581904	22.624611414685848	4.8844780458052774e-8	4.6387277441257e-6	WT_vs_bisC
P29744	-3.667157533283337	-4.284260340210541	-3.050054726356133	24.869184825034637	6.357872494350575e-8	5.855022578888302e-6	WT_vs_bisC
P0DM85	-1.5579703949320454	-1.8230025616173318	-1.292938228246759	20.72852475536422	7.09337660228487e-8	6.340226910101094e-6	WT_vs_bisC
P13857	0.6236562944898658	0.5118355601424164	0.7354770288373152	26.26927214696732	1.203596746833183e-7	1.0450658610360122e-5	WT_vs_bisC
P76297	-3.712431463806883	-4.387428434940611	-3.037434492673155	19.974348067525344	1.3843264204996767e-7	1.1686022199718105e-5	WT_vs_bisC
P0AF06	-2.065514721070212	-2.458047485738698	-1.6729819564017256	22.581813471316252	2.152161661786286e-7	1.767680889234736e-5	WT_vs_bisC
P20099	4.200821234190229	3.3855018217139543	5.016140646666504	22.370451651411233	2.653064022662216e-7	2.121753043386967e-5	WT_vs_bisC
P11350	-6.594747271485051	-7.963685579642513	-5.22580896332759	21.12969861627271	5.151871160638975e-7	4.014496527482525e-5	WT_vs_bisC
P63284	0.5595948643250992	0.44280676627257515	0.6763829623776233	28.53290762134058	5.431658688129241e-7	4.126702688306191e-5	WT_vs_bisC
P37329	-0.6209251664733237	-0.7554130816152544	-0.48643725133139304	25.667486834347184	7.810109657593838e-7	5.789005670592116e-5	WT_vs_bisC
P0ABZ1	-4.0906094394496435	-4.998261214195283	-3.182957664704004	22.138855769592322	9.87970529881215e-7	7.14867247692622e-5	WT_vs_bisC
P77263	-4.708154565370739	-5.785169301140918	-3.63113982960056	16.45587714564113	1.3273850328788828e-6	9.38121654632308e-5	WT_vs_bisC
P46888	1.1275854332897737	0.8628141440060353	1.392356722573512	23.752151969436735	1.7075260436288911e-6	1.1793571924064091e-4	WT_vs_bisC
P0AEM4	-1.3914867414465597	-1.722302501486834	-1.0606709814062854	23.68042769849261	1.9233905261294273e-6	1.2989297353127398e-4	WT_vs_bisC
P02932	5.728990395935314	4.27193314437439	7.186047647496238	16.453721920859376	3.655358836228602e-6	2.4149207615866783e-4	WT_vs_bisC
Q46906	0.6962204341542915	0.5147818053971583	0.8776590629114246	22.04854937994977	4.599170574644416e-6	2.973804122626464e-4	WT_vs_bisC
P75936	-5.116111447787485	-6.467861879813228	-3.764361015761743	22.682773108731034	5.2326717813416955e-6	3.312935321561961e-4	WT_vs_bisC
P37194	0.9018623229753722	0.6586137800416356	1.1451108659091087	28.034528061593342	6.344184386784763e-6	3.9346890513140603e-4	WT_vs_bisC
P0A8K5	3.522114297922837	2.5637228861307415	4.480505709714932	20.780320252128654	6.886897332752707e-6	4.185856198847095e-4	WT_vs_bisC
P0ACH1	-2.758048143442492	-3.5107693564522595	-2.005326930432725	16.726383012702335	7.0801179548398144e-06	4.2189173460310185e-4	WT_vs_bisC
