Run	group	rep	Protein.Group	PG.MaxLFQ	n_detect	n_replicates	comparison
bisC_1	bisC	1	O52982	19.298899097013464	3	3	WT_vs_bisC
bisC_1	bisC	1	P00350	29.764503939083212	3	3	WT_vs_bisC
bisC_1	bisC	1	P00363	29.213647433013666	3	3	WT_vs_bisC
bisC_1	bisC	1	P00370	25.289767741400087	3	3	WT_vs_bisC
bisC_1	bisC	1	P00393	26.8640115355296	3	3	WT_vs_bisC
bisC_1	bisC	1	P00448	30.060892640663877	3	3	WT_vs_bisC
bisC_1	bisC	1	P00452	27.07578906368239	3	3	WT_vs_bisC
bisC_1	bisC	1	P00490	27.78604922371373	3	3	WT_vs_bisC
bisC_1	bisC	1	P00509	29.14462090448981	3	3	WT_vs_bisC
bisC_1	bisC	1	P00547	24.565684345183826	3	3	WT_vs_bisC
bisC_1	bisC	1	P00550	27.372893481846337	3	3	WT_vs_bisC
bisC_1	bisC	1	P00561	26.223241814678413	3	3	WT_vs_bisC
bisC_1	bisC	1	P00562	26.992882771366276	3	3	WT_vs_bisC
bisC_1	bisC	1	P00579	28.34267424080163	3	3	WT_vs_bisC
bisC_1	bisC	1	P00582	26.55747024582527	3	3	WT_vs_bisC
bisC_1	bisC	1	P00634	23.128931225312297	3	3	WT_vs_bisC
bisC_1	bisC	1	P00803	25.32634581861906	3	3	WT_vs_bisC
bisC_1	bisC	1	P00805	29.943365990402768	3	3	WT_vs_bisC
bisC_1	bisC	1	P00811	22.897169192988432	3	3	WT_vs_bisC
bisC_1	bisC	1	P00816	22.19753857590741	3	3	WT_vs_bisC
bisC_1	bisC	1	P00861	22.48845555248445	3	3	WT_vs_bisC
bisC_1	bisC	1	P00864	27.39224469685338	3	3	WT_vs_bisC
bisC_1	bisC	1	P00887	24.61327610228507	3	3	WT_vs_bisC
bisC_1	bisC	1	P00888	23.54108136814127	3	3	WT_vs_bisC
bisC_1	bisC	1	P00893	21.49096273116314	3	3	WT_vs_bisC
bisC_1	bisC	1	P00894	22.629243544872885	3	3	WT_vs_bisC
bisC_1	bisC	1	P00895	23.050861658204777	3	3	WT_vs_bisC
bisC_1	bisC	1	P00903	22.22848639092006	3	3	WT_vs_bisC
bisC_1	bisC	1	P00904	21.19908174551761	3	3	WT_vs_bisC
bisC_1	bisC	1	P00909	22.849756133274763	3	3	WT_vs_bisC
bisC_1	bisC	1	P00914	22.90148646869621	3	3	WT_vs_bisC
bisC_1	bisC	1	P00926	24.794912082649457	3	3	WT_vs_bisC
bisC_1	bisC	1	P00934	27.025035616313023	3	3	WT_vs_bisC
bisC_1	bisC	1	P00935	22.677984320289134	3	3	WT_vs_bisC
bisC_1	bisC	1	P00936	22.968426511020503	3	3	WT_vs_bisC
bisC_1	bisC	1	P00944	23.08890402371968	3	3	WT_vs_bisC
bisC_1	bisC	1	P00946	28.120670730281855	3	3	WT_vs_bisC
bisC_1	bisC	1	P00954	27.198813402044387	3	3	WT_vs_bisC
bisC_1	bisC	1	P00956	27.961942789434367	3	3	WT_vs_bisC
bisC_1	bisC	1	P00957	30.556400103987094	3	3	WT_vs_bisC
bisC_1	bisC	1	P00959	27.348515698865416	3	3	WT_vs_bisC
bisC_1	bisC	1	P00960	28.036468944344808	3	3	WT_vs_bisC
bisC_1	bisC	1	P00961	28.232026784603825	3	3	WT_vs_bisC
bisC_1	bisC	1	P00962	27.455613684579863	3	3	WT_vs_bisC
bisC_1	bisC	1	P00963	25.242926361695783	3	3	WT_vs_bisC
bisC_1	bisC	1	P00968	27.64640115814822	3	3	WT_vs_bisC
bisC_1	bisC	1	P02358	31.443964497929912	3	3	WT_vs_bisC
bisC_1	bisC	1	P02359	31.72320388105864	3	3	WT_vs_bisC
bisC_1	bisC	1	P02413	31.470257450707468	3	3	WT_vs_bisC
bisC_1	bisC	1	P02916	27.574109691610083	3	3	WT_vs_bisC
bisC_1	bisC	1	P02918	25.44981463678113	3	3	WT_vs_bisC
bisC_1	bisC	1	P02919	27.48034400260719	3	3	WT_vs_bisC
bisC_1	bisC	1	P02921	19.45632508399527	3	3	WT_vs_bisC
bisC_1	bisC	1	P02924	26.041163150657297	3	3	WT_vs_bisC
bisC_1	bisC	1	P02925	29.585780333014323	3	3	WT_vs_bisC
bisC_1	bisC	1	P02929	24.556916218606844	3	3	WT_vs_bisC
bisC_1	bisC	1	P02930	28.14552499860949	3	3	WT_vs_bisC
bisC_1	bisC	1	P02931	28.63023212477643	3	3	WT_vs_bisC
bisC_1	bisC	1	P02932	12.803612446856382	3	3	WT_vs_bisC
bisC_1	bisC	1	P02942	27.11091448048049	3	3	WT_vs_bisC
bisC_1	bisC	1	P02943	28.77970743409421	3	3	WT_vs_bisC
bisC_1	bisC	1	P03004	24.709918569171553	3	3	WT_vs_bisC
bisC_1	bisC	1	P03007	22.281461596710184	3	3	WT_vs_bisC
bisC_1	bisC	1	P03018	25.089298205213055	3	3	WT_vs_bisC
bisC_1	bisC	1	P03023	22.746682425887	3	3	WT_vs_bisC
bisC_1	bisC	1	P03024	23.02185497016653	3	3	WT_vs_bisC
bisC_1	bisC	1	P03030	22.54839826470524	3	3	WT_vs_bisC
bisC_1	bisC	1	P03813	23.74785543616925	3	3	WT_vs_bisC
bisC_1	bisC	1	P03817	24.297084747687805	3	3	WT_vs_bisC
bisC_1	bisC	1	P03819	22.95176111232519	3	3	WT_vs_bisC
bisC_1	bisC	1	P03835	23.41263109000356	3	3	WT_vs_bisC
bisC_1	bisC	1	P03841	27.60009654342257	3	3	WT_vs_bisC
bisC_1	bisC	1	P03960	19.27843485319152	3	3	WT_vs_bisC
bisC_1	bisC	1	P04036	26.00181482286313	3	3	WT_vs_bisC
bisC_1	bisC	1	P04079	28.710149969018744	3	3	WT_vs_bisC
bisC_1	bisC	1	P04128	23.98931306930249	3	3	WT_vs_bisC
bisC_1	bisC	1	P04335	24.615104914892328	3	3	WT_vs_bisC
bisC_1	bisC	1	P04391	22.165881340071152	3	3	WT_vs_bisC
bisC_1	bisC	1	P04395	25.89732700065948	3	3	WT_vs_bisC
bisC_1	bisC	1	P04425	26.26138463657293	3	3	WT_vs_bisC
bisC_1	bisC	1	P04693	25.783025694648646	3	3	WT_vs_bisC
bisC_1	bisC	1	P04805	28.215314511716933	3	3	WT_vs_bisC
bisC_1	bisC	1	P04816	20.31509952064677	3	3	WT_vs_bisC
bisC_1	bisC	1	P04825	28.274847325051127	3	3	WT_vs_bisC
bisC_1	bisC	1	P04846	23.731273241637457	3	3	WT_vs_bisC
bisC_1	bisC	1	P04949	31.354914787928543	3	3	WT_vs_bisC
bisC_1	bisC	1	P04951	26.389299297487693	3	3	WT_vs_bisC
bisC_1	bisC	1	P04968	22.72234581922532	3	3	WT_vs_bisC
bisC_1	bisC	1	P04982	24.659482490913906	3	3	WT_vs_bisC
bisC_1	bisC	1	P04983	24.623384545903473	3	3	WT_vs_bisC
bisC_1	bisC	1	P04993	23.91531575246385	3	3	WT_vs_bisC
bisC_1	bisC	1	P04994	27.756729164874105	3	3	WT_vs_bisC
bisC_1	bisC	1	P04995	23.301094099662272	3	3	WT_vs_bisC
bisC_1	bisC	1	P05020	27.86318799891522	3	3	WT_vs_bisC
bisC_1	bisC	1	P05041	20.456744437152217	3	3	WT_vs_bisC
bisC_1	bisC	1	P05042	26.467979238443984	3	3	WT_vs_bisC
bisC_1	bisC	1	P05050	20.266824992822947	3	3	WT_vs_bisC
bisC_1	bisC	1	P05052	20.681229295202147	3	3	WT_vs_bisC
bisC_1	bisC	1	P05055	29.246189840884497	3	3	WT_vs_bisC
bisC_1	bisC	1	P05100	23.06106393535065	3	3	WT_vs_bisC
bisC_1	bisC	1	P05194	24.154017666852525	3	3	WT_vs_bisC
bisC_1	bisC	1	P05458	23.69304980609192	3	3	WT_vs_bisC
bisC_1	bisC	1	P05459	28.86410101589743	3	3	WT_vs_bisC
bisC_1	bisC	1	P05523	22.39197551351552	3	3	WT_vs_bisC
bisC_1	bisC	1	P05637	23.435370270151065	3	3	WT_vs_bisC
bisC_1	bisC	1	P05704	24.708583273887047	3	3	WT_vs_bisC
bisC_1	bisC	1	P05706	23.44500562342351	3	3	WT_vs_bisC
bisC_1	bisC	1	P05707	26.43644048988685	3	3	WT_vs_bisC
bisC_1	bisC	1	P05719	23.018510079160023	3	3	WT_vs_bisC
bisC_1	bisC	1	P05791	23.63348219060052	3	3	WT_vs_bisC
bisC_1	bisC	1	P05793	25.368607168535256	3	3	WT_vs_bisC
bisC_1	bisC	1	P05804	21.269069877485595	3	3	WT_vs_bisC
bisC_1	bisC	1	P05824	19.874563236260418	3	3	WT_vs_bisC
bisC_1	bisC	1	P05825	26.183133160330247	3	3	WT_vs_bisC
bisC_1	bisC	1	P05827	20.90132184116553	3	3	WT_vs_bisC
bisC_1	bisC	1	P05847	19.426155065597047	3	3	WT_vs_bisC
bisC_1	bisC	1	P05852	24.39369275925028	3	3	WT_vs_bisC
bisC_1	bisC	1	P06129	25.989943776039535	3	3	WT_vs_bisC
bisC_1	bisC	1	P06134	19.35589666611178	3	3	WT_vs_bisC
bisC_1	bisC	1	P06136	22.019153270726537	3	3	WT_vs_bisC
bisC_1	bisC	1	P06149	26.73783436087015	3	3	WT_vs_bisC
bisC_1	bisC	1	P06282	23.42193036675279	3	3	WT_vs_bisC
bisC_1	bisC	1	P06610	27.27091336238592	3	3	WT_vs_bisC
bisC_1	bisC	1	P06611	21.653229520246963	3	3	WT_vs_bisC
bisC_1	bisC	1	P06612	26.36279289436562	3	3	WT_vs_bisC
bisC_1	bisC	1	P06616	26.311332019587443	3	3	WT_vs_bisC
bisC_1	bisC	1	P06709	26.40765352117045	3	3	WT_vs_bisC
bisC_1	bisC	1	P06710	24.003880723908654	3	3	WT_vs_bisC
bisC_1	bisC	1	P06715	26.462089958472088	3	3	WT_vs_bisC
bisC_1	bisC	1	P06720	25.830379225285903	3	3	WT_vs_bisC
bisC_1	bisC	1	P06721	24.10668513420815	3	3	WT_vs_bisC
bisC_1	bisC	1	P06722	22.39826889889827	3	3	WT_vs_bisC
bisC_1	bisC	1	P06846	22.349562140829192	3	3	WT_vs_bisC
bisC_1	bisC	1	P06864	20.998609882650833	3	3	WT_vs_bisC
bisC_1	bisC	1	P06959	30.121442771869816	3	3	WT_vs_bisC
bisC_1	bisC	1	P06961	23.60625914338351	3	3	WT_vs_bisC
bisC_1	bisC	1	P06965	18.8049673701865	3	3	WT_vs_bisC
bisC_1	bisC	1	P06966	23.983666882580103	3	3	WT_vs_bisC
bisC_1	bisC	1	P06968	26.146253398536356	3	3	WT_vs_bisC
bisC_1	bisC	1	P06971	24.519556473181023	3	3	WT_vs_bisC
bisC_1	bisC	1	P06974	24.998288273510113	3	3	WT_vs_bisC
bisC_1	bisC	1	P06983	25.57346436331721	3	3	WT_vs_bisC
bisC_1	bisC	1	P06986	24.288722616730652	3	3	WT_vs_bisC
bisC_1	bisC	1	P06987	24.426275761549764	3	3	WT_vs_bisC
bisC_1	bisC	1	P06988	24.002959020590072	3	3	WT_vs_bisC
bisC_1	bisC	1	P06989	25.525869044765894	3	3	WT_vs_bisC
bisC_1	bisC	1	P06992	25.379076885622094	3	3	WT_vs_bisC
bisC_1	bisC	1	P06993	27.095335366795194	3	3	WT_vs_bisC
bisC_1	bisC	1	P06996	32.1888590975399	3	3	WT_vs_bisC
bisC_1	bisC	1	P06999	26.889326171170975	3	3	WT_vs_bisC
bisC_1	bisC	1	P07000	23.41566002813509	3	3	WT_vs_bisC
bisC_1	bisC	1	P07001	27.19099578934903	3	3	WT_vs_bisC
bisC_1	bisC	1	P07003	27.45938146137051	3	3	WT_vs_bisC
bisC_1	bisC	1	P07004	26.55286653382732	3	3	WT_vs_bisC
bisC_1	bisC	1	P07012	27.152844015463337	3	3	WT_vs_bisC
bisC_1	bisC	1	P07013	22.806509699180545	3	3	WT_vs_bisC
bisC_1	bisC	1	P07014	28.95279455908778	3	3	WT_vs_bisC
bisC_1	bisC	1	P07017	28.002509965925405	3	3	WT_vs_bisC
bisC_1	bisC	1	P07018	24.033597588810643	3	3	WT_vs_bisC
bisC_1	bisC	1	P07021	21.504734505576774	3	3	WT_vs_bisC
bisC_1	bisC	1	P07023	23.389171265714868	3	3	WT_vs_bisC
bisC_1	bisC	1	P07024	26.33215376825512	3	3	WT_vs_bisC
bisC_1	bisC	1	P07026	21.94152632100969	3	3	WT_vs_bisC
bisC_1	bisC	1	P07102	24.54779980145257	3	3	WT_vs_bisC
bisC_1	bisC	1	P07109	21.72193119480577	3	3	WT_vs_bisC
bisC_1	bisC	1	P07117	25.533344705163053	3	3	WT_vs_bisC
bisC_1	bisC	1	P07118	28.045138893389424	3	3	WT_vs_bisC
bisC_1	bisC	1	P07330	23.880976315463435	3	3	WT_vs_bisC
bisC_1	bisC	1	P07363	26.60184614892714	3	3	WT_vs_bisC
bisC_1	bisC	1	P07364	21.99491480849138	3	3	WT_vs_bisC
bisC_1	bisC	1	P07395	29.21307781028331	3	3	WT_vs_bisC
bisC_1	bisC	1	P07604	24.76557869231926	3	3	WT_vs_bisC
bisC_1	bisC	1	P07623	20.80158502715024	3	3	WT_vs_bisC
bisC_1	bisC	1	P07639	25.794946380207076	3	3	WT_vs_bisC
bisC_1	bisC	1	P07648	22.723927740804147	3	3	WT_vs_bisC
bisC_1	bisC	1	P07649	22.672860588005097	3	3	WT_vs_bisC
bisC_1	bisC	1	P07650	26.514156966379055	3	3	WT_vs_bisC
bisC_1	bisC	1	P07654	22.47125534122626	3	3	WT_vs_bisC
bisC_1	bisC	1	P07658	24.770268371933295	3	3	WT_vs_bisC
bisC_1	bisC	1	P07762	25.08680000950431	3	3	WT_vs_bisC
bisC_1	bisC	1	P07813	28.03215202833267	3	3	WT_vs_bisC
bisC_1	bisC	1	P07821	22.47657749900918	3	3	WT_vs_bisC
bisC_1	bisC	1	P07822	18.16411943154083	3	3	WT_vs_bisC
bisC_1	bisC	1	P07862	25.477003363754196	3	3	WT_vs_bisC
bisC_1	bisC	1	P07913	27.21355577453938	3	3	WT_vs_bisC
bisC_1	bisC	1	P08142	25.292512897746125	3	3	WT_vs_bisC
bisC_1	bisC	1	P08178	26.552337123188018	3	3	WT_vs_bisC
bisC_1	bisC	1	P08179	24.653101239854735	3	3	WT_vs_bisC
bisC_1	bisC	1	P08189	17.779370698900863	3	3	WT_vs_bisC
bisC_1	bisC	1	P08190	21.031687911340622	3	3	WT_vs_bisC
bisC_1	bisC	1	P08191	22.65309074069874	3	3	WT_vs_bisC
bisC_1	bisC	1	P08192	24.989321992235062	3	3	WT_vs_bisC
bisC_1	bisC	1	P08194	27.86084904288826	3	3	WT_vs_bisC
bisC_1	bisC	1	P08200	31.11714115539207	3	3	WT_vs_bisC
bisC_1	bisC	1	P08201	24.866144041869852	3	3	WT_vs_bisC
bisC_1	bisC	1	P08244	26.214109789410152	3	3	WT_vs_bisC
bisC_1	bisC	1	P08245	24.28152640222712	3	3	WT_vs_bisC
bisC_1	bisC	1	P08312	28.63138435342543	3	3	WT_vs_bisC
bisC_1	bisC	1	P08331	27.11978875007662	3	3	WT_vs_bisC
bisC_1	bisC	1	P08337	23.261670999937824	3	3	WT_vs_bisC
bisC_1	bisC	1	P08368	21.514529385382357	3	3	WT_vs_bisC
bisC_1	bisC	1	P08373	24.62279987049349	3	3	WT_vs_bisC
bisC_1	bisC	1	P08390	25.056190838535812	3	3	WT_vs_bisC
bisC_1	bisC	1	P08394	23.51643128018723	3	3	WT_vs_bisC
bisC_1	bisC	1	P08395	24.339087064501516	3	3	WT_vs_bisC
bisC_1	bisC	1	P08400	21.91693027928913	3	3	WT_vs_bisC
bisC_1	bisC	1	P08401	21.74548989392548	3	3	WT_vs_bisC
bisC_1	bisC	1	P08506	27.73731388578206	3	3	WT_vs_bisC
bisC_1	bisC	1	P08550	23.10669200230855	3	3	WT_vs_bisC
bisC_1	bisC	1	P08555	22.748941840356725	3	3	WT_vs_bisC
bisC_1	bisC	1	P08622	26.918194663993543	3	3	WT_vs_bisC
bisC_1	bisC	1	P08660	24.51456008489066	3	3	WT_vs_bisC
bisC_1	bisC	1	P08839	29.075491717077444	3	3	WT_vs_bisC
bisC_1	bisC	1	P08956	24.096875815975512	3	3	WT_vs_bisC
bisC_1	bisC	1	P08957	24.85815538685583	3	3	WT_vs_bisC
bisC_1	bisC	1	P08997	30.26059067096174	3	3	WT_vs_bisC
bisC_1	bisC	1	P09029	23.975196457893276	3	3	WT_vs_bisC
bisC_1	bisC	1	P09030	26.047076804354052	3	3	WT_vs_bisC
bisC_1	bisC	1	P09053	23.726194767877654	3	3	WT_vs_bisC
bisC_1	bisC	1	P09099	22.07063083683483	3	3	WT_vs_bisC
bisC_1	bisC	1	P09126	24.391720437584983	3	3	WT_vs_bisC
bisC_1	bisC	1	P09127	26.33886597756657	3	3	WT_vs_bisC
bisC_1	bisC	1	P09147	27.08879228164592	3	3	WT_vs_bisC
bisC_1	bisC	1	P09148	25.186100029718837	3	3	WT_vs_bisC
bisC_1	bisC	1	P09151	21.454700538187726	3	3	WT_vs_bisC
